VOIE_ID,VOIE_COMPLET,VOIE_FANTOIR,VOIE_DATECRE,VOIE_REAL,VOIE_OFFICIEL,TENANT,ABOUTISSANT,DENOM_ANNEE,DM_SEANCE,DELIB_NUM,COTE_ARCHIVES,DENOM_ORIGINE,DENOM_N_MOINS_1,DENOM_N_MOINS_1_ANNEE,DENOM_N_MOINS_2,DENOM_N_MOINS_2_ANNEE,LIEN_EXTERNE,OBSERVATIONS,GeoJSON
474,Ancienne route de Lyon,4571,2000-01-01,oui,oui,LYON (ROUTE DE),ST. MARTIN LE VINOUX,Inconnue,2019-11-02,,Inconnue,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71813256780046,45.1983655479791],[5.71818937260951,45.1985190651025],[5.71812644962659,45.1988326988547],[5.71787888774442,45.1997024033958],[5.717813949154,45.1999263003828]]}"
475,Route de Lyon,4570,2000-01-01,oui,oui,ARISTIDE BRIAND (PLACE),AUTOROUTE A 48,Inconnue,2019-11-02,,Inconnue,"Lyon est une commune située au centre-est de la France, au confluent du Rhône et de la Saône; c'est le chef-lieu du département du Rhône et de la région Rhône-Alpes.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Lyon,,"{""type"":""LineString"",""coordinates"":[[5.71699904698789,45.1998390068775],[5.717118859914,45.1996538215085],[5.71748764036002,45.1990838184541],[5.71756349995178,45.1989876353636],[5.71782213144429,45.1986597112657],[5.71801028455763,45.1983901258293],[5.71813256780046,45.1983655479791],[5.71843667131026,45.1977791891771],[5.7188699383134,45.1962852411008],[5.71907927254586,45.1955329037878],[5.71914724464054,45.1944111750157],[5.71890228144275,45.1942230367649]]}"
476,Allée du Lys Rouge,4573,2000-01-01,oui,oui,ANATOLE FRANCE (RUE),ECOLE VAUCANSON (ALLEE DE L'),1981,1981-11-13,,Inconnue,Le Lys rouge est un roman d'Anatole France publié en 1894.,Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Le_Lys_rouge,,"{""type"":""LineString"",""coordinates"":[[5.71126873388911,45.1714940171064],[5.71134870220823,45.1717751195288],[5.71127044299576,45.1721035136501],[5.71117943601797,45.1721665364413],[5.71107137583701,45.17268251963],[5.7109695205483,45.1731660722113],[5.71093764168505,45.1732215942229]]}"
477,Place du Lys Rouge,4574,2000-01-01,oui,oui,LYS ROUGE (ALLEE DU),ECOLE VAUCANSON (ALLEE DE L'),1981,1981-11-13,,Inconnue,Le Lys rouge est un roman d'Anatole France publié en 1894.,Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Le_Lys_rouge,,"{""type"":""LineString"",""coordinates"":[[5.71107137583701,45.17268251963],[5.71057065400347,45.1726273779827]]}"
478,Rue Mably,4580,2000-01-01,oui,oui,DOMINIQUE VILLARS (RUE),VERDUN (PLACE DE),1850,2019-11-02,,Inconnue,"Gabriel Bonnot de Mably, né à Grenoble le 14 mars 1709 et mort à Paris le 2 avril 1785, philosophe.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Gabriel_bonnot_de_mably,,"{""type"":""LineString"",""coordinates"":[[5.7344175400426,45.1890208635065],[5.73334138040677,45.1886235163994]]}"
479,Rue André Sibellas,510,2000-01-01,oui,oui,RHIN ET DANUBE (AVENUE),SANS ISSUE,1948,1948-11-18,,Inconnue,"André Sibellas, né à Bourg-en-Bresse en 1897 et mort à Genas le 12 juillet 1944, militaire durant la 1ère guerre mondiale puis résistant durant la seconde guerre mondiale, il emprunte alors le pseudonyme de ""Ric"" et devient chef du mouvement ""Libération"".",Inconnue,Inconnue,Inconnue,Inconnue,http://www.memorial-genweb.org/~memorial2/html/fr/complementter.php?id=289146&largeur=1280&hauteur=1024,,"{""type"":""LineString"",""coordinates"":[[5.70511871336062,45.1744518486145],[5.70365105975889,45.1744435406965],[5.70243525172837,45.1744366443816]]}"
480,Chemin de la Madeleine,4590,2000-01-01,oui,oui,VILLEBOIS (CHEMIN),LEON JOUHAUX (RUE),Inconnue,2019-11-02,,Inconnue,Origine inconnue.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""MultiLineString"",""coordinates"":[[[5.74104014565909,45.1838140032929],[5.74111628342689,45.1839429542172],[5.74136076301278,45.1839581344956],[5.7414040871795,45.1839608292167],[5.74143878401959,45.183963079397],[5.74108225246406,45.1844525227941],[5.74092137733734,45.1845238882196]],[[5.74143878401959,45.183963079397],[5.74147298206979,45.1839652972191],[5.74159043926154,45.1839727568303],[5.74159939006802,45.1839733954536],[5.74179596947389,45.1839860140649],[5.74188148435548,45.18399161644],[5.74199894691216,45.1839991655369],[5.74200815196196,45.1839997966892],[5.74218760313183,45.1840112949318],[5.74233175429336,45.1840201338581],[5.7423817307394,45.1840233539494],[5.74258861751676,45.1840358496796],[5.74260216035344,45.184036623983],[5.7427948687954,45.1840483636456],[5.74284521086051,45.1840513026823],[5.74310000364986,45.1840664476226],[5.74316937569553,45.1840703603504],[5.74333435779939,45.1840804793508],[5.74352122521845,45.1840903176189],[5.74367448648914,45.1840963625106],[5.74465637979491,45.1841353972669]]]}"
481,Rue Madeleine,4600,2000-01-01,oui,oui,LIONNE (RUE DE),BERULLE (PLACE DE),Inconnue,2019-11-02,,Inconnue,"Au 11ème siècle, Saint Hugues (Evêque de Grenoble) fit construire la Maison de l'aumône de Saint-Hugues qui était un établissement hospitalier; il fut nommé plus tard ""Hôpital de la Magdeleine"" car la chapelle qu'il abritait était placée sous la protectio",Magdelaine (rue),Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,Dénommée ainsi depuis le Moyen Âge s'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.72996019471978,45.1935892543962],[5.72932090017174,45.19361115049]]}"
482,Espace de Madrid,4602,2000-01-01,oui,oui,BOSTON (RUE DE),NEW YORK (RUE DE),1997,1997-06-16,,2206W 343,,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.71305493993411,45.1842739645998],[5.71314850930925,45.1842714935713],[5.71337476279317,45.1842655182404]]}"
483,Rue de la Magnanerie,4610,2000-01-01,oui,oui,JONGKIND (QUAI),MORTILLET (RUE DE),Inconnue,2019-11-02,,Inconnue,"Au 19ème siècle, une magnanerie était en activité sur cette voie (qui était alors un chemin de campagne). Une magnanerie est un lieu d'exploitation de sériciculture (l'élevage du ver à soie).  ",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Magnanerie,Placée dans le réseau des voies publiques après 1938 d'après Dreyfus,"{""type"":""LineString"",""coordinates"":[[5.73701267569457,45.2016705487062],[5.7371234211844,45.2005150311445],[5.73713270221641,45.200456118848],[5.73714174370851,45.200351485671],[5.73715014625531,45.200253354821],[5.73716414868559,45.2000897734261],[5.7372055528069,45.1996453337058],[5.73722117446105,45.1994658563397],[5.73722609271993,45.1993974541432],[5.73723133569059,45.1993258906791],[5.7372371587342,45.1992489972671],[5.73723948331991,45.1992190324839],[5.73724339367641,45.1991747933431],[5.73725016559508,45.1990967015426],[5.7372592829822,45.1990107968458],[5.73727392586223,45.1988603443697],[5.73730741371638,45.1985354531301],[5.73731495573675,45.1984842056451]]}"
